pk,phonetic,comment,original_entry,other_reconstructions
8871,,,"-glézelA, ka- ‘stripe, make striped’ B-272",
8872,,,"-glézA, pa- ‘make spotted or ringed by rubbing’. B-423",
8873,†-ktéfi,striped,†-ktéfi “oⁿktéfi” ‘snake’ (striped) DS-328a,
8874,,,nDɛ•seʔ Haas,
8875,,,ndɛ•seʔ ‘snake (striped)’ Swadesh,
8876,,,hokerés ‘color’ KM-1802,
8877,,,,
8878,,,"hdéza ‘striped, in ridges or rows’ R-131b",
8879,,,léze ‘striped’ RR,
8880,,,"gléðe ‘spots, patches’ Marsh",
8881,,,,
8882,,,,
8883,,,kdéze ‘striped’ RR,
8884,,,,
8885,†léze,,†léze “gthéçe” ‘striped’ LF-54a,
8886,,,,
8887,†gðéze,,†gðéze “gtheze” ‘striped’ SW-166,
8888,,,,
8889,,,,
8890,,,"-ɣó, da- dé ‘decrease, lower’ RR",
8891,,,"-ɣó, di- ‘mark, scratch, draw line’ RR",
8892,,,"-ɣó, ka- ‘draw a line, i.e. on land, as a Reservation line to mark, make marks, cuts or gashes, to vaccinate’ B-273",
8893,,,"-ɣo, owá- ‘score’ B-411",
8894,,,"-ɣó, pa- ‘carve, engrave; to mark e.g. by a line for a race, to pace ground’ B-424",
8895,,,"-ɣó, ya- ‘make a mark with the teeth’ B-619",
8896,,,"-ɣó, yu- ‘make scratches’ B-636b",
8897,,,"-ɣóɣo, na- ‘make scratches, as on the floor by walking, with the shoes etc.’ B-343",
8898,"†-xohí, dak-",,"†-xohí, dak- “dŭkxohí, tûkxohí” ‘scrape, shave’ DS-222a",
8899,,,"-ɣó, gi- ‘grind, sharpen’ KM-339",
8900,,,,
8901,†kaɣó,,"†kaɣó ‘mark, make marks, etc.’ R-248b",
8902,,,"-ɣó, yü- ‘make marks, scratch’ RR",
8903,†wiɣó,,†wiɣó “wixó” ‘mark with something’ JGT92-182,
8904,,,,
8905,,,,
8906,†ðüɣo,,"†ðüɣo “thixu” ‘make marks, lines’ LF-152",
8907,,,,
8908,†wabaɣó,,"†wabaɣó “wabaxú” ‘make marks, write’ SW-190",
8909,,,wésade hi ‘black dye tree; soft maple’ JOD,
8910,†wešapeðe hü,,"†wešapeðe hü “weshabethe hiu” ‘maple’ LF-214a, 292a",
8911,†tóhayudi,,†tóhayudi “tóhayudi” ‘blue wood tree’ ‘maple’,
8912,,,"hi- ‘times, -fold’ JOD",
8913,,,,
8914,,,,
8915,,,hų ‘many’ H-79,
8916,,,"hų́x ‘some, a part of’ C",
8917,,,hųų ‘article of emphasis’ Marsh,
8918,†ohų́•,H. (under ‘marry’),"†ohų́• “ohó, ohóⁿ ” Hw",
8919,†ohų́•,,"“ohōn, ohōteha” H. (under ‘marry’)",
8920,†hųx,,"†hųx “huŋḣ” ‘some, a part’ R-157b",
8921,,,hü• ‘much’ RR,
8922,,,,
8923,,,áhu ~ ahú ‘many’ J,
8924,,,,
8925,,,"ahú ‘many’ RG, GG-4, DEC-80",
8926,,,hü ‘much’ RR,
8927,,,,
8928,,,"“áhigi” ‘abundant, plenty, many’ SW-208",
8929,,,,
8930,,Cf. |onį́| ‘gens’,níkka ‘man’ Cf. onį́ ‘gens’,
8931,,,wičhá ‘person’ C,
8932,,,wičháša ‘man’ PD-92,
8933,,N.B. waré ‘work’,"ware-nį́ka ‘worker, wageman, slang for white man’ KM-3432. N.B. waré ‘work’.",
8934,,,,
8935,,,wičhášta ‘man’ PD-92 [\sa MERGE],
8936,,,"níkka, nį́kka ‘man’ RR",
8937,,,wičhášta ‘man’ PD-92,
8938,,,,
8939,,,wįčhá ‘man’ Lur.,
8940,,,wįčhásta ‘man’ Lur.,
8941,,,níhka ‘man’,
8942,,,,
8943,,,níkka ‘man’ RR,
8944,,,wą́ŋe ‘man’ W-236b,
8945,,,rųwą́k ‘man’ C,
8946,†ą́kwa,,"†ą́kwa “áñkwa” ‘person, someone’ DS-323a",
8947,†ą́kwa,,"“aⁿk-hó̄shka” ‘baby’ DS-323a, JRS-1909:485",
8948,,,yę ‘man’ Sp (?),
8949,†mą•ḳi,,†mą•ḳi ‘husband’ Oliverio/H-1879,
8950,†mąhkanąka,,†mąhkanąka “mą’ganą’kasit’” ‘negro’ Sapir,
8951,†mąhkanąka,,“māxkanakā´sit” ‘negro’ Fracht,
15187,,,,
8952,†mąhkanąka,,“wā´xkanaka ~ waxkanáka” ‘whiteman’ Fracht,
8953,†mąhkanąka,,"“wáhtahka, waaiyuā (N), waiwaq” H.",
8954,,,ʔąya•deʔ MRH,
8955,,,ąya•diʔ MS,
8956,,,"“aⁿyá, haⁿyá, áⁿya, aⁿyádi, hąyadí” ‘person, man’ DS-178b",
8957,,,"wąąk# ~ wąąg- ‘man’ JWE, KM-3588-99, 3601-3604",
8958,,,,
8959,,,,
8960,,,,*wą; *wąk
8961,,,,
8962,,,bacheé ‘man’,
8963,,,,
8964,,,dó•ge ‘male’ RR,
8965,,,,
8966,,,bulá ‘male’ RG,
8967,,,bloká ‘male’ C,
8968,†no•na,,†no•na “nōna” ‘man’ H. (?),
8969,,,,
8970,,,,*wróke
8971,†do(-ki),,"†do(-ki) “ĭndoké, ĭntokí, aⁿyaṭó” ‘man’ DS-200a",
8972,,,tcedok ‘buffalo bull’ Marino-171,
8973,,,toga ‘male’ JOD,
8974,,,,
8975,,,,
8976,,,“mdoká” ‘male’ R-313b,
8977,,,wa•ró•ka “ma•ró•ka” ‘elk’ J,
8978,,,,
8979,,,,
8980,,,werók ‘bull’ C,
8981,,,,
8982,,,tóka ‘male’ JOD,
8983,†itó•ki,,"†itó•ki “amaⁿ´ itō´ki” ‘male turkey’ DS-320, Ssf",
8984,†itó•ki,,“itó” DS-325a,
8985,,,mnogá RS,
8986,,,dogá ‘male’ RR,
8987,,,,
8988,,,,
8989,,,čhédo ‘male bison’ JDH,
8990,†toká,,†toká “dogá” ‘male’ LF-38a,
8991,,,,
8992,†nóga,,"†nóga “núga” ‘male’ Stabler, JOD1890",
8993,,,"káɣe ‘make, cause’ RR",
8994,,,"wakákaɣe ‘picture’ (JOD), ‘movie’ RR",
8995,,,,
8996,,,,*káx
8997,,,"kax, ra- ‘to eat corn from cob’ H-104",
8998,,,írukaxka ‘willow rake’ H-106,
8999,,,káɣa ‘make’ C,
9000,,,gáxe ‘make marks’ Marsh,
9001,,< ka + caus.,kače ‘make’ KS < ka + caus. Sp.,
9002,,,káɣa ‘make’,
9003,,Vroot only,gáax ‘plan’ KM-311,
9004,,,"gáx, wa- ‘write; draw; owe’ KM-3251",
9005,,,,
9006,,,,
9007,,,gáʕa PAS,
9008,,,"gá•ɣe ‘make sth., do sth., pretend, cause’ RR",
9009,,,,
9010,,,"ka•xE, ara- ‘scratch with toe’ J",
9011,,,"ka•xE, nú- ‘make single scratch, mark off, measure’ J",
9012,,,"ka•xE, pá- ‘make mark by dragging’ J",
9013,,,,
9014,,,,
9015,,,"kaaxi, dúu- ‘scratch, make marks’ RG",
9016,,,páakaaxi ‘scratch’ DEC-97,
9017,,,ká•ɣe ‘make’ RR,
9018,,,,
9019,,ɣ ?,"gá•xe ‘make’ C, RR {ɣ}(?)",
9020,,,"ko•pE, ara- ‘work stick into wall by foot’ J",
9021,,,"ko•pE, ára- ‘burn’ J",
9022,,,"ko•pE, ná- ‘chew or gnaw through’ J",
9023,,,"ko•pE, naka- ‘nick, blaze, mark a log as yours for cutting’ J",
9024,,,"ko•pE, nú- ‘drill by auger’ J",
9025,,,"ko•pE, pá- ‘try to pry in’ J",
9026,,DEC-54,"koopí, ala ‘break through with foot’ RG, DEC-52",
9027,,,"koopi, dáa- ‘break through with teeth’ RG, DEC-53",
9028,,,"koopí, dak- ‘poke a hole’ RG, GG-41",
9029,,,"koopi, dúu- ‘pierce’ RG, GG-45",
9030,,,"koopi, páa- ‘punch a hole in’ (DEC-54)",
9031,,,,
9032,,,,
9033,,,"gogóp, gi- ‘peck at with the beak’ KM-335",
9034,,,"góp, gi- ‘pick up with the beak’ KM-334",
9035,,,"góp, ru- ‘take, dig something out of something else (e.g., knife out of sheath, cork out of bottle)’ KM-2664",
9036,,,"góp, wa- ‘pry out, v.tr.’ KM-3256",
9037,,,,
9038,,,,
9039,,,,
9040,,,,
9041,,,,
9042,,,,*yáxu; *Lyaxú ~ Lyáxu
9043,,,dáɣi ‘lungs’ JOD,
9044,,,dáɣį ‘lungs’ JOD,
9045,,,čhaɣú ‘lungs’ C,
9046,,,láxu ‘lungs’ Marsh,
9047,†čásu,,†čásu “tcásu” ‘liver’ DS-329a,
9048,†yáxu,G,†yáxu “yák‹hú” ‘lungs’ (G) DS-288a,
9049,,,raaɣó ‘lung’ KM-2524,
9050,,,,
9051,,,“ćaġú” ‘lungs’ R-84a,
9052,,,yáxü ‘lungs’ RR,
9053,,,,
9054,,,rá•xu “ná•xu” ‘lungs’ J,
9055,,,,
9056,,,,
9057,,,,
9058,,,"dáaxo ‘lung’ RG, GG-41, DEC-70",
9059,,,,
9060,†ðáɣį,,†ðáɣį “tháxiⁿ” ‘lungs’ LF-142b,
9061,†ðáɣi,,†ðáɣi “tháxi” ‘lungs’ LF-142b,
9062,,,,
9063,,,tteðáxį ‘animal lungs’ C,
9064,†ðáxį,,†ðáxį “tha’xi” ‘lung’ SW-116,
9065,,,"kikírasoʔš ‘he loves someone, is stingy with something’ H-111",
9066,,,,
9067,,,“kíyasi” ‘like it’,
9068,,,he ‘louse’ JOD,
9069,,,,
9070,,,,
9071,,,péʔ ‘head louse’ C,
9072,,,héya ‘louse’ C,
9073,,,he• ‘louse’ RR,
9074,†ą́yi,,†ą́yi “óⁿyi” ‘louse’ DS-328 (?),
9075,†ané,,"†ané “ané, anedí” ‘louse’ DS-173a (?)",
9076,,,hée ‘louse’ KM-782,
9077,,,,
9078,,,héya ‘louse’ R-144b,
9079,,,hé ‘louse’ RR,
9080,,,,
9081,,,wé• “mé•” ‘head louse’ J,
9082,,,,
9083,,,,
9084,,,,
9085,,,"beé RG, GG-28, DEC-1",
9086,,,hé ‘louse’ RR,
9087,,,,
9088,,,hé ‘louse’ RR,
9089,,,,*xupá; *xpáyį
9090,,,xawá•roʔš ‘it’s lost’ C,
9091,,,mįhų́pe xawa•wahereʔre ‘I can’t find my shoes’ C,
9092,,,"xawą ‘be lost, secret’ Marino-433",
9093,,,"xawanį́ ‘be lost, missing; disappear from sight’ KM-3862",
9094,,,,
9095,,,,
9096,,,,
9097,,CAUS,xapá• ‘be lost’ J,
9098,,,xapíhee ‘lose something’ (CAUS) J,
9099,,,,
9100,,CAUS,xapíi ‘be lost’ GG-61,
9101,,,xapíia ‘lose’ (CAUS) GG-61,
9102,,,,
9103,,,,
9104,,,kahó•roʔš ‘he falls down’ C,
9105,,,“kahóho” ‘loosen by striking’ B-247a,
9106,†ktahó,,†ktahó “ktahó” ‘hit and topple’ DS-214b,
9107,,,gihó ‘be suspended’ KM-345,
9108,,,,
9109,,,kahóho ‘strike and knock loose’ R-250a,
9110,,,,
9111,,,hóhpi ‘loose’ GG-48,
9112,†kahóšǫoha,,†kahóšǫoha “gahóshoⁿuha” ‘strike and cause to fall forward’ LF-46a,
9113,,,,
9114,,,,
9115,†dóθi,,"†dóθi “tóthi, tósi, tóshi” ‘loon’ JGT92-179",
9116,,,blóza ‘pelican’ B-111b,
9117,,,"ituse ‘dove, hawk’ Sp (?)",
9118,†tose-ra,,†tose-ra JOD,
9119,,,“mdóza” ‘loon’ R-314a,
9120,,,doį́ze sabe ‘black loon’ RR,
9121,,,,
9122,,,,
9123,†tóze,,†tóze “dóçe çabe” ‘black loon’ LF-37a,
9124,,,,
9125,†nóze,,†nóze ‘cormorant’ KS,
9126,,,,
9127,†óθʔį,,†óθʔį “óth^in” ‘peep at’ JGT92-199,
9128,,,"okásʔį ‘peep, peek at’ JOD",
9129,,,"okásʔį ‘look into, peek in’ C",
9130,†ákuduksáye,,†ákuduksáye “ákûdûksáye” ‘peeping through a crack’ DS-216b (?),
9131,,,hoisʔį́ ‘look in while passing by’ KM-1324,
9132,,,,
9133,†ókasʔį,,†ókasʔį “ókasiŋ” ‘look into’ R-363a,
9134,,,ogácʔį ‘look in upon’ RR,
9135,,,,
9136,,,,
9137,†u_kácʔį,,†u_kácʔį “ugáṭs’iⁿ” ‘peep’ LF-168b,
9138,,,,
9139,†ogásʔį,,†ogásʔį ‘peeped’ JOD1890:27,
9140,,,,
9141,,,"horuɣúč, horuɣuič, horuɣič ‘look at, see’ KM-1493",
9142,,,,
9143,,,"óyüɣüǰe ‘survey, watch over’ RR",
9144,,,,
9145,†oðǘɣüce,,†oðǘɣüce “uthíxidse” ‘look around’ LF-177b,
9146,,,“uthixide” ‘look’ SW-115,
9147,†oxá•ta,,"†oxá•ta “ohāta, waqēta” ‘see’ H.",
9148,†oxá•ta,,"“oháta, oqáta” ‘see’ JOD",
9149,,,,
9150,,,í_xat (1s íwaxatoʔš) ‘look at’ H-311,
9151,,,íxatoʔš ‘he watched it’ C,
9152,,,,
9153,,,,
9154,,,,
9155,,,"hą́- {in} hą́hik ‘time, occasion’ H-65",
9156,,,-hą- {in} té•hąʔš ‘it’s far away’ C,
9157,,,-hą- {in} “téhąta” ‘it’s far away’ H-483,
9158,,,,
9159,,"word is used when one is pointing at the same time, as in saying: He emp (please check the content of this field)","-hą́ {in} ehą́ ‘then, at that time; then, at that place; to, thus far’ B-139",
9160,,in ref. to time and place,-hą́- {in} ehą́na ‘long ago’ B-140,
9161,,of tohą,"-hą́- {in} ehą́tą ‘already, ever since, from the outset’ B-140",
9162,,"cf. lehąkeca, hehąkeca","-hą́- {in} ehą́tąhą ‘from, from that time or place’ B-140",
9163,,,-hą́- {in} ehą́tu ‘at that time’ B-140,
9164,,,"-hą́- {in} ehą́tuke ‘just then, then; indeed’ B-140",
9165,,,-hą́- {in} ehą́tuxci ‘just at that time’ B-140,
9166,,,"-hą́- {in} ehą́yą ‘so far, as far as, up to a certain mark, as in filling a bottle’ B-140",
9167,,,"-hą {in} héhą ‘at that time, then’ B-171",
9168,,,-hą- {in} hehą́xca ‘then and not until then’ B-171,
9169,,,-hą- {in} héhąni ‘then’ ehąni B-171,
9170,,,-hą- {in} hehą́tą ‘from that time; therefore’ B-171,
9171,,,"-hą- {in} hehą́tąhą ‘from that time, therefore’ B-171",
9172,,,"-hą- {in} hehą́tu ‘at that time, then’ B-171",
9173,,,"-hą- {in} hehą́yą ‘so far, in ref. to places; so long, in ref. nto time; from that time at that time, then’ B-171",
9174,,,"-hą {in} kahą́ ‘to this, thus far’ word is used when one is pointing at the same time, as in saying: He emp",
9175,,,"-hą- {in} kahą́tu ‘to that, so far, so long’ B-273",
9176,,,-hą- {in} kahą́tuya ‘so far’ B-273,
9177,,,-hą- {in} kahą́yą ‘thus far’ B-273,
9178,,,"-hą- {in} kahą́yela ‘only so far, only so long’ B-273",
9179,,,"-hą {in} lehą́ ‘now, thus far; at this place’ B-324",
9180,,,"-hą- {in} lehą́kata ‘Hither, from far away.’ B-814",
9181,,,"-hą- {in} lehą́keca ‘so long, so high, so short’ B-324",
9182,,,-hą- {in} lehą́tąhą ‘from this’ B-324,
9183,,,"-hą- {in} lehą́tu ‘to this, thus far; now’ B-324",
9184,,,"-hą- {in} lehą́tuya ‘to this extent, on this wise’ B-324",
9185,,,"-hą- {in} lehą́yą ‘so far, in space; so long, in time’ B-324",
9186,,,-hą {in} letą́hą ‘from this place or this time’ B-324,
9187,,,"-hą {in} théhą ‘far, long’ in ref. to time and place B-486a",
9188,,,-hą- {in} téhątą ‘from afar’ B-486,
9189,,,-hą- {in} théhątąhą ‘from afar’ B-486,
9190,,,"-hą- {in} théhątu ‘far off, to or at a great distance’ B-486b",
9516,,,dią́ba ‘sheet lightning’ JOD,
9191,,,"-hą- {in} théhątuya ‘far off, to or at a great distance’ B-486b",
9192,,,-hą- {in} téhąyą ‘far away’ B-486,
9193,,,"-hą {in} tohą́hą ‘At what time? At what times, places? How far?’ of tohą’ B-493",
9194,,,"-hą- {in} tohą́keca ‘How long? this usually ref. to space’ cf. lehąkeca, hehąkeca’ B-493",
9195,,,-hą- {in} tóhąšna ‘sometime’ B-493,
9196,,,-hą- {in} tohą́tą ‘for all the past time’ B-493,
9197,,,-hą- {in} tohą́tu ‘When?’ B-493,
9198,,,-hą- {in} tóhąxci ‘some other time in the future perhaps’ B-493,
9199,,,"-hą- {in} tohą́yą ‘as long as, as far as; ‘for how long?’ B-493",
9200,†hąčá,,†hąčá “haⁿtcá” ‘when’ DS-196a,
9201,†hąčá,,“haⁿ” ‘and or when: always follows immediately after some verb’ DS-195b,
9202,†hąčá,,"“-haⁿ ”{in} “eḳaⁿhaⁿ´ ” (=“eḳaⁿHaⁿ, ekaⁿhaⁿ, eḳihaⁿ, eḳehaⁿ´”) DS-205b-206a",
9203,†hą,“-han” {in} téhan,†hą “-han” {in} téhan ‘far’,
9204,†hą,“-han-” {in} téhantu,†hą “-han-” {in} téhantu ‘distant’,
9205,,,"-hą {in} ákkihą ‘beyond, in the distant past’ RR",
9206,,,,
9207,,,ha- {in} hak ‘then’ H&V,
9208,,,ha- {in} hakha• ‘this time’ H&V,
9209,,,"ha- {in} haruk ‘and then, when’ J",
9210,,,"ha- {in} háwa ‘then, again, there, and’ H&V",
9211,,,"-a- {in} tía ‘to be late, take a long time’ J",
9212,,,-a- {in} tíatha•c ‘not long ago’ H&V -tha• ‘not’,
9213,,,-a- {in} tíaruk šíakha ‘after a long time’ J,
9214,,,,
9215,,,shía ‘a long time’ GG-63,
9216,,,shía ‘long after’ GG-66,
9217,,,áhkihą ‘to go beyond’,
9218,,,,
9219,,,té•hąʔš ‘it’s far away’ C,
9220,,,"théhą ‘far, long’ in ref. to time and place B-486a",
9221,,,téhątą ‘from afar’ B-486,
9222,,,"théhątu ‘far off, to or at a great distance’ B-486b",
9223,,,téhąyą ‘far away’ B-486,
9224,,,téhan ‘far’; téhantu ‘distant’,
9225,,,,
9226,,,,
9227,,-tha• ‘not’,"tía ‘to be late, take a long time’ J",
9228,,,tía- in tíatha•c ‘not long ago’ H&V -tha• ‘not’,
9229,,,"tí•- in tí•ši ‘distant, far, long’ J",
9230,,,tí•- in tí•šša ‘far away’ J,
9231,,,,
9232,,,shía ‘a long time’ GG-63,
9233,,,shía ‘long after’ GG-66,
9234,,,"shíassaa ‘shortly, not long’ GG-66",
9235,,,,
9236,†nąské,,"†nąské “naskĕ´” ‘long, tall, as a tree’ DS-232b",
9237,,,,*hą́ski; *hąské
9238,,,"hą́škaʔš ‘it’s long, tall’ C",
9239,,,"hą́ska ‘long, tall’ C",
9240,,,"“yapóske, yumpañkatska” ‘long’ H. (?)",
9241,,,hą́ska PAS,
9242,,,"“háŋska” ‘long, tall’ R-124b",
9243,,,,
9244,,,háckE “hácki” ‘long’ J,
9245,,,,
9246,,,,
9247,,,"háčka ‘tall, long’ RG, GG-48",
9248,,,,
9249,,,,
9250,,,θléǰe ‘long’ W-236a,
9251,,,stétte ‘long’ RR,
9252,,,,
9253,,,"səret- ‘pull’ Sp 87, 88a",
9254,†fté•tka,,"†fté•tka “ftē´tka” ‘long’ DS-323b, Ssf",
9255,,,"seréč, serecį́ ‘be long; be tall’ KM-2813",
9256,,,,
9257,,,sčeǰé ‘long’ RR,
9258,,,,*s-ré; *srét
9259,,,,
9260,,,,
9261,†scecé,,†scecé “stsedsé” ‘long’ LF-134b,
9262,†scecé,,scé• ‘long’ RR,
9263,,,snedé ‘long’ C,
9264,,,sne•dé ~ sné•de ‘long’ RR,
9265,,,,
9266,,,-šeka ‘there’ RR,
9267,,suff. particle.,-ka {in} laxcaka suff. particle. ‘very’ B-322a,
9268,,"this usually ref. to space; cf. |lehąkeca, hehąkeca|",-ka {in} tóka ‘why? how is it? what is up?’ B-494a,
9269,,"tokeca imatokeca; perhaps better, ítokeca","-ca {in} ecéca ‘to be so, be affected with, as with a cold or disease, to be like’ B-137",
9270,,,"-ca {in} héca ‘such, such like; belonging to such a clan, or such a description’ B-169",
9271,,,"-ca {in} kákheca ‘in this manner, thus’ B-279",
9272,,,-ca {in} léca ‘such as this’ B-323,
9273,,,"-ca {in} léceca ‘like this, such as’ B-323",
9274,,,"-ca {in} séca ‘as, though, seemingly’ B-453a",
9275,,,"-ca {in} tohą́keca ‘How long? this usually ref. to space’ cf. lehąkeca, hehąkeca’ B-493",
9276,,,"-ca {in} itókeca ‘to be altered, changed; to be affected by inmany way’ tokeca imatokeca; perhaps better, ítokeca’ B-241",
9277,,,"-ca {in} tónakeca ‘some, a few. also, interrog. how many, how much?’ B-499",
9278,†-kát,,†-kát {in} “hukát” ‘now’ KS-168,
9279,†-ká,,†-ká {in} “hαkáte” ‘now indeed’ KS-168,
9280,†-kə-,†-kə- {in} “ya•kəwɛʔ”,†-kə- {in} “ya•kəwɛʔ” ‘that woman’ KS-225 (?),
9281,†-ką´,,†-ką´ {in} “dé•kα´” ‘that’s me’ KS-225,
9282,†-ką,,†-ką {in} “mónαkα” ‘the ground’ KS-225,
9283,†-ką,,†-ką {in} “ókα” ‘he’ KS-125,
9284,†-ka,,†-ka {in} “tci•(ka)” ‘there’ KS-227,
9285,†-ká,,†-ká {in} “yañká” ‘when’ DS-290a,
9286,†-ká,,†-ká {in} “tuká” ‘that way; in that direction’ DS-281b,
9287,,,"-gá {in} hagá ‘time, occurrence, instance’ KM-554",
9288,,,"-ga {in} jaaną́ga ‘how many, how much? quite a number’ KM-1677",
9289,,,-ga {in} žeeną́ga ‘that much’ KM-4006,
9290,,,,
9291,,,,
9292,,,,
9293,,JOD,"-ga {in} šéga, šegá (JOD) ‘yonder, in that vi. place’ RR",
9294,,,"-gá {in} yegá ‘here, right here’ RR",
9295,,,"-gá- {in} yegáha ‘here, right here’ RR",
9296,,,,
9297,†-ka,,"†-ka {in} ṭsé-ga ‘recently; anew; early; (2) new, as a new blanket, a new robe’ LF-158",
9298,†tu,,†tu “tŭ” ‘here’ DS-281a,
9299,,,“-tkα´-” {in} “utkα´ni” ‘long time’ KS-150,
9300,,,“-tkα-” {in} “atkαni•réko” ‘long while ago’ KS-150,
9301,,,“-tkα´-” {in} “utkα´nerekó” ‘long while ago’ KS-150,
9302,,,“-tkα´-” {in} “utkα´nihere” ‘long while ago’ KS-150,
9303,†-tka-,,†-tka- {in} “arátkənrɛ” ‘a long time ago’ KS-150,
9304,†-tka-,,“-tkα” {in} “aráʻtkαnire” ‘long time ago’ KS-150,
9305,†-tka,,†-tka {in} itka {in} háawitka ‘under the leaves’ DS-200b,
9306,†-tká-,,"†-tká- {in} itkáyaⁿ ‘inside, within, in’ DS-200b",
9307,†-tk’,,†-tk’ {in} tī´tk’ ‘into the house’ DS-200b,
9308,†-tka,,†-tka {in} nĕ´tka ‘right here’ DS-236a (?),
9309,,,,
9310,,,étti ‘there’ RR,
9311,†-ti,,"†-ti {in} “ĕ´ṭi” ‘there, this is it’ DS-192a",
9312,†-ti,,“-ti” {in} “ĕ´ti” ‘here’ DS-192a,
9313,†-ti,,"“-ṭí-” {in} “ĕṭíḳe” ‘so, thus, as’ DS-192a",
9314,,éǰi RR,"-ǰí {in} eǰí (MR, éǰi ‘there, in that place’ RR",
9315,,,"-ǰí- {in} eǰíkhą ‘there, from, thither, from that place’ RR",
9316,,,"-ǰí {in} gaǰį́, gaǰí ‘across’ RR",
9317,,,"-ǰi {in} géǰi, ge eǰi ‘towards the sc/in objs, or the place or land’ RR",
9318,,,"-ǰi {in} gagóǰi ‘now, just now’ RR",
9319,,,"-ǰí- {in} goǰí, go:ǰí (MR) ‘far off, remote, long way off’ RR",
9320,,,"-ǰi {in} yegóǰi, yegó:ǰi ‘now, at this time or place’ RR",
9321,,,"-ǰi {in} yeyóǰi, yéyoǰi ‘somewhere, not far off’ RR",
9322,,,,
9323,†ci,,"†ci” DSi” ‘there, designating place’ LF-39",
9324,†-ci,,†-ci {in} “e-dsí” ‘there’ LF-40,
9325,†-ci-,,†-ci- {in} “e-dsí-toⁿ” ‘thence; from that place’ LF-40,
9326,†ágodi,tti- house,†ágodi -di {in} águdi ‘where’ JEK,
9327,†ágodi,,-di {in} ttiadi ‘in the tent’ JEK {tti-} house,
9328,†ágodi,,-di {in} édi ‘there’ JEK,
9329,†ágodi,,-dí- {in} edíthą ‘from there’ JEK,
9330,†godigahaw,,†godigahaw -di- {in} gúdigahau ‘[go thither! get away’ JEK,
9331,†dódigahaw,,†dódigahaw -di- {in} dúdigahau ‘[come hither!’ JEK,
9332,,,"imą́-tta ‘other side, at or on’ RR",
9333,,,,
9334,,,,
9335,†tewé•ta,,-ta {in} †tewé•ta “təwéta” ‘where’ H-483,
9336,†tewé•ta,,,
9337,†té•hąta,,-ta {in} †té•hąta “téhąta” ‘it’s far away’ H-483,
9338,†té•hąta,,-ta {in} “wą́ʔąkta” ‘on the ground’ H-484,
9339,†té•hąta,,-ta {in} “íhta” ‘in his mouth’ H-484,
9340,†té•hąta,,-ta {in} “wirį́ta” ‘in the water’ H-484,
9341,†té•hąta,,,
9342,†té•hąta,,,
9343,†té•hąta,,,
9344,†té•hąta,,,
9345,,,ą-da ‘at; to; on’ JGT92-606,
9346,,,-ta {in} “éda/ éta (LW)” ‘then; and then’ JGT92-782,
9347,,,-da- {in} “hádare” ‘then it is’ JGT92-1260,
9348,,,-ta {in} “gáda/ káta (LW)” ‘at’ JGT92-906,
9349,,,-da {in} “gáreda” ‘at that time’ JGT92-924,
9350,,,-da {in} “gída/ ga ída” ‘just then; there; in that place’ JGT92-915,
9351,,,-da {in} “gósida/ góshida” ‘over there’ JGT92-1148,
9352,,,-da {in} “róda [ra + u + da” ‘in; within’ JGT92-3194,
9353,,,-da- {in} “ródagi” ‘into’ JGT92-3197,
9354,,,-da- {in} “ródagun” ‘inside’ JGT92-3198,
9355,,,-da- {in} “ródawa” ‘within; inside’ JGT92-3199,
9356,,,-da {in} “séda/ shéda” ‘there/ right there’ JGT92-3411,
9357,,,-da {in} “sgéda/ shgéda/ shkéda” ‘in that event’ JGT92-3438,
9358,,,-da- {in} “tandáwa/tanwá (DOR)” ‘whence/whither’ JGT92-3783,
9359,,,-da {in} “tátanda” ‘when?’ JGT92-3810,
9360,,,"-da {in} “tatãnda” “tatãda” ‘when’ LWR-29,75",
9361,,,,
9362,,,,
9363,,,,
9364,,,,
9365,,,,
9366,,,,
9367,,,,
9368,,,,
9369,,,,
9370,,,,
9371,,,,
9372,,,,
9373,,,,
9374,,,,
9375,,,,
9376,,detá•ca hok´nąturu? = where will I go sit down at?,tak ‘at’ KS-48 (?),
9377,,,-tá•- {in} detá•ca ‘where’ (detá•ca hok´nąturu ‘where will I go sit down at’) KS-248 (?),
9378,,,-ja {in} cį́įja ‘where’ KM-256,
9379,,,-ja {in} éeja ‘there’ KM-298,
9380,,,-já {in} hijá ‘there’ KM-892,
9381,,,-já {in} goojá ‘over there’ KM-454,
9382,,,,
9383,,,,
9384,,,,
9385,,,,
9386,,,"-da {in} mą́da (JOD) ‘at length, in the course of time’ RR",
9387,,,-da {in} góda ‘yonder’ RR,
9388,,,"-da- {in} gódaha ‘over there, thither’ RR",
9389,,,,
9390,,,-ta {in} táta ‘early’ J,
9391,,,-ta {in} -hkita ‘into’ J,
9392,,,-ta {in} ro•tá “no•tá” ‘this side’ J,
9393,,,,
9394,,,,
9395,,,,
9396,,,sás- ‘soon’ RG,
9397,†tóta,,†tóta -da {in} dó-da ‘in this direction’ LF-37,
9398,†hįtá,,†hįtá -dá {in} hiⁿ-dá ‘now; at this moment; at once’ LF-60,
9399,†kóta,,†kóta -da {in} góda ‘ahead’ LF-53,
9400,†kótathą,ritual term,†kótathą -da {in} gó-da toⁿ ‘that person standing yonder’ Ritual term. LF-53,
9401,,,,
